alloy_name_alpha,run_folder,natoms,Pct_Al,Pct_Cr,Pct_Cu,Pct_Hf,Pct_Mo,Pct_Nb,Pct_Ru,Pct_Si,Pct_Ta,Pct_Ti,Pct_V,Pct_W,Pct_Zr,total_energy_eV,energy_per_atom_eV,formation_e_per_atom_eV,formation_meV_per_atom,formation_meV_per_formula_unit,formula_unit_atoms,missing_refs,volume_A3,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg,Ru_at_frac,vec_avg,radius_avg,vol_avg,delta_r,chi_avg,delta_chi,Hmix_kJmol
Nb25W75,./03_Matrix_Binaries/MATRIX_BIN_029_Nb25_W75,8,0,0,0,0,0,25,0,0,0,0,0,75,0,-98.68369275,-12.33546159375,-0.06859771625000022,-68.59771625000022,-137.19543250000044,2,,131.3295227675636,5.546676711024796,5.544730830306148,5.546676711024796,109.46411420454828,109.4783261294559,109.46411420454828,0.0,5.75,1.4075,16.35,0.021535267589666326,2.17,0.3290896534380866,-1.5
Nb50W50,./03_Matrix_Binaries/MATRIX_BIN_030_Nb50_W50,8,0,0,0,0,0,50,0,0,0,0,0,50,0,-92.62998179,-11.57874772375,-0.023481238749999633,-23.481238749999633,-23.481238749999633,1,,135.5419547971531,5.604866188826646,5.604866188826646,5.604866188826646,109.43785443329266,109.48790631083345,109.48790631083345,0.0,5.5,1.4249999999999998,16.9,0.02456140350877195,1.98,0.3799999999999999,-2.0
Nb75W25,./03_Matrix_Binaries/MATRIX_BIN_031_Nb75_W25,8,0,0,0,0,0,75,0,0,0,0,0,25,0,-86.53790417,-10.81723802125,0.026431071250000215,26.431071250000215,26.431071250000215,1,,140.91128505888935,5.679559429329245,5.679559429329245,5.679559429329245,109.49458658745995,109.49458658745995,109.49458658745995,0.0,5.25,1.4425,17.45,0.02101274809875594,1.79,0.3290896534380866,-1.5
Nb88W12,./03_Matrix_Binaries/MATRIX_BIN_032_Nb87_W12,8,0,0,0,0,0,88,0,0,0,0,0,12,0,-83.56894551,-10.44611818875,0.02752025964999838,27.52025964999838,27.52025964999838,1,,143.88378261374996,5.7175667801784975,5.7175667801784975,5.7175667801784975,109.47122063449069,109.47122063449069,109.47122063449069,0.0,5.12,1.4516,17.736,0.015670506705001846,1.6912,0.2469707675009331,-0.8448
Nb12V88,./03_Matrix_Binaries/MATRIX_BIN_033_Nb12_V87,8,0,0,0,0,0,12,0,0,0,0,88,0,0,-72.31384521,-9.03923065125,0.0821666279500004,82.1666279500004,82.1666279500004,1,,111.51379244174049,5.251904562993281,5.251904562993281,5.251904562993281,109.47122063449069,109.47122063449069,109.47122063449069,0.0,5.0,1.3544,13.952,0.028791630494870445,1.6263999999999998,0.009748846085563088,-0.4224
Nb25V75,./03_Matrix_Binaries/MATRIX_BIN_034_Nb25_V75,8,0,0,0,0,0,25,0,0,0,0,75,0,0,-73.17132032,-9.14641504,0.12428641499999848,124.28641499999848,248.57282999999697,2,,116.96281927758945,5.276701333912026,5.522771090648844,5.276701333912026,110.41868874466736,108.5073599913845,110.41868874466736,0.0,5.0,1.37,14.55,0.03792811987377094,1.6225,0.012990381056766495,-0.75
Nb50V50,./03_Matrix_Binaries/MATRIX_BIN_035_Nb50_V50,8,0,0,0,0,0,50,0,0,0,0,50,0,0,-75.27841412,-9.409801765,0.14802310500000004,148.02310500000004,148.02310500000004,1,,127.7781052340139,5.495743358311697,5.495743358311697,5.495743358311697,109.5714288868191,109.42113975679742,109.42113975679742,0.0,5.0,1.4,15.7,0.042857142857142816,1.615,0.014999999999999902,-1.0
Nb75V25,./03_Matrix_Binaries/MATRIX_BIN_036_Nb75_V25,8,0,0,0,0,0,75,0,0,0,0,25,0,0,-77.82850329,-9.72856291125,0.11638537374999913,116.38537374999913,116.38537374999913,1,,137.63302392320404,5.564707235999905,5.564707235999904,5.564707235999905,108.40584281477376,108.40584281477376,108.40584281477378,0.0,5.0,1.43,16.85,0.036336730228717674,1.6075000000000002,0.012990381056766495,-0.75
Nb88V12,./03_Matrix_Binaries/MATRIX_BIN_037_Nb87_V12,8,0,0,0,0,0,88,0,0,0,0,12,0,0,-79.22024857,-9.90253107125,0.09172138954999909,91.72138954999909,91.72138954999909,1,,142.26775600329054,5.696080574835461,5.696080574835461,5.696080574835461,109.4712206344907,109.47122063449069,109.47122063449069,0.0,5.0,1.4456,17.448,0.02697522436514424,1.6036000000000001,0.009748846085563088,-0.4224
Mo12Ta88,./03_Matrix_Binaries/MATRIX_BIN_038_Mo12_Ta87,8,0,0,0,0,12,0,0,0,88,0,0,0,0,-94.24503961,-11.78062995125,-0.008796405250000916,-8.796405250000916,-8.796405250000916,1,,142.1452068065581,5.694444573707251,5.694444573707251,5.694444573707251,109.47122063449069,109.47122063449069,109.47122063449069,0.0,5.12,1.4516,17.712,0.015670506705001846,1.5792000000000002,0.21447461388238936,-0.8448
