B2_Name,a_B2,B2_Formation_Energy,B2_VEC,B2_delta_r,B2_chi_avg,B2_delta_chi,B2_Hmix,B2_Ru,B2_Hf,B2_Ti,B2_Zr,B2_Al,B2_Mo,B2_Nb,B2_Ta,B2_W,B2_V,B2_Cr,B2_Cu,B2_Si
B2_PENALTY_112_Ru50Al50_Hf,4.152701731,-0.729649314,4.75,0.0691810843061248,1.6025,0.3674489760497368,-12.5,0.25,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_PENALTY_113_Ru87Cr12_Hf,2.562502587,-1.035615577,5.875,0.0853931303142513,1.7176,0.4356446258132884,-12.672,0.4375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0
B2_PENALTY_114_Ru75Cr25_Hf,3.225424668,-0.878162691,5.75,0.0884389348964152,1.6852000000000005,0.4182976930369089,-10.488,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0
B2_PENALTY_115_Ru62Cr37_Hf,2.556723432,-0.716377173,5.625,0.0918154837201231,1.6474000000000002,0.3937476857074846,-8.122,0.3125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0
B2_PENALTY_116_Ru50Cr50_Hf,4.053567315,-0.552796357,5.5,0.09457197487001,1.615,0.3683408747342603,-6.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
B2_PENALTY_117_Ru87Cu12_Hf,2.569438099,-1.045192975,6.1875,0.0853931303142513,1.7320000000000002,0.4374654272053965,-14.4672,0.4375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0
B2_PENALTY_118_Ru75Cu25_Hf,3.236261822,-0.923389889,6.375,0.0884389348964152,1.7140000000000002,0.4237971212738473,-13.5888,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0
B2_PENALTY_119_Ru62Cu37_Hf,2.568274935,-0.799684359,6.5625,0.0918154837201231,1.693,0.4062646920420233,-12.1272,0.3125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0
B2_PENALTY_120_Ru50Cu50_Hf,4.076680397,-0.677358279,6.75,0.09457197487001,1.675,0.3897114317029974,-10.5,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
B2_PENALTY_121_Ru87Si12_Hf,2.574158138,-1.089550642,5.75,0.0937602843775687,1.7320000000000002,0.4374654272053965,-12.3552,0.4375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625
